Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Thu, Mar 14, 2024",8:00p,Los Angeles Clippers,126,Chicago Bulls,111,Box Score,,"21,219",2:00,United Center,
"Thu, Mar 14, 2024",8:00p,Washington Wizards,119,Houston Rockets,135,Box Score,,"18,055",2:05,Toyota Center,
"Thu, Mar 14, 2024",8:00p,Philadelphia 76ers,105,Milwaukee Bucks,114,Box Score,,"17,635",2:15,Fiserv Forum,
"Thu, Mar 14, 2024",10:00p,Dallas Mavericks,119,Oklahoma City Thunder,126,Box Score,,"18,203",2:27,Paycom Center,
"Thu, Mar 14, 2024",10:00p,New York Knicks,105,Portland Trail Blazers,93,Box Score,,"17,768",2:05,Moda Center,
"Fri, Mar 15, 2024",7:00p,Phoenix Suns,107,Charlotte Hornets,96,Box Score,,"18,613",2:07,Spectrum Center,
"Fri, Mar 15, 2024",7:00p,Miami Heat,108,Detroit Pistons,95,Box Score,,"19,894",2:01,Little Caesars Arena,
"Fri, Mar 15, 2024",7:30p,Orlando Magic,113,Toronto Raptors,103,Box Score,,"19,800",2:14,Scotiabank Arena,
"Fri, Mar 15, 2024",8:00p,Los Angeles Clippers,104,New Orleans Pelicans,112,Box Score,,"18,865",2:09,Smoothie King Center,
"Fri, Mar 15, 2024",8:30p,Denver Nuggets,117,San Antonio Spurs,106,Box Score,,"16,223",2:07,Moody Center,
"Fri, Mar 15, 2024",9:30p,Atlanta Hawks,122,Utah Jazz,124,Box Score,,"18,206",2:12,Delta Center,
"Sat, Mar 16, 2024",5:00p,Cleveland Cavaliers,103,Houston Rockets,117,Box Score,,"18,055",2:01,Toyota Center,
"Sat, Mar 16, 2024",7:00p,Brooklyn Nets,100,Indiana Pacers,121,Box Score,,"17,009",2:14,Gainbridge Fieldhouse,
"Sat, Mar 16, 2024",7:00p,Portland Trail Blazers,107,New Orleans Pelicans,126,Box Score,,"17,725",2:09,Smoothie King Center,
"Sat, Mar 16, 2024",7:00p,Charlotte Hornets,98,Philadelphia 76ers,109,Box Score,,"19,957",2:15,Wells Fargo Center,
"Sat, Mar 16, 2024",8:00p,Washington Wizards,98,Chicago Bulls,127,Box Score,,"21,697",2:17,United Center,
"Sat, Mar 16, 2024",8:00p,Oklahoma City Thunder,118,Memphis Grizzlies,112,Box Score,,"17,012",2:18,FedEx Forum,
"Sat, Mar 16, 2024",8:30p,Golden State Warriors,128,Los Angeles Lakers,121,Box Score,,"18,997",2:25,Crypto.com Arena,
"Sat, Mar 16, 2024",9:30p,Minnesota Timberwolves,119,Utah Jazz,100,Box Score,,"18,206",2:08,Delta Center,
"Sat, Mar 16, 2024",10:00p,New York Knicks,98,Sacramento Kings,91,Box Score,,"18,311",2:21,Golden 1 Center,
"Sun, Mar 17, 2024",1:00p,Phoenix Suns,129,Milwaukee Bucks,140,Box Score,,"17,783",2:10,Fiserv Forum,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Sun, Mar 17, 2024",3:00p,Miami Heat,104,Detroit Pistons,101,Box Score,,"20,004",2:03,Little Caesars Arena,
"Sun, Mar 17, 2024",3:30p,Denver Nuggets,105,Dallas Mavericks,107,Box Score,,"20,377",2:20,American Airlines Center,
"Sun, Mar 17, 2024",6:00p,Toronto Raptors,96,Orlando Magic,111,Box Score,,"18,846",2:10,Kia Center,
"Sun, Mar 17, 2024",6:00p,Boston Celtics,130,Washington Wizards,104,Box Score,,"20,333",2:12,Capital One Arena,
"Sun, Mar 17, 2024",7:00p,Brooklyn Nets,115,San Antonio Spurs,122,Box Score,OT,"16,057",2:35,Moody Center,
"Sun, Mar 17, 2024",9:30p,Atlanta Hawks,110,Los Angeles Clippers,93,Box Score,,"19,370",2:08,Crypto.com Arena,
"Mon, Mar 18, 2024",7:00p,Cleveland Cavaliers,108,Indiana Pacers,103,Box Score,,"17,274",2:17,Gainbridge Fieldhouse,
"Mon, Mar 18, 2024",7:30p,Detroit Pistons,94,Boston Celtics,119,Box Score,,"19,156",1:53,TD Garden,
"Mon, Mar 18, 2024",7:30p,Miami Heat,91,Philadelphia 76ers,98,Box Score,,"19,782",2:19,Wells Fargo Center,
"Mon, Mar 18, 2024",8:00p,Portland Trail Blazers,107,Chicago Bulls,110,Box Score,,"20,293",2:19,United Center,
"Mon, Mar 18, 2024",9:00p,Minnesota Timberwolves,114,Utah Jazz,104,Box Score,,"18,206",2:02,Delta Center,
"Mon, Mar 18, 2024",10:00p,New York Knicks,119,Golden State Warriors,112,Box Score,,"18,064",2:18,Chase Center,
