Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Sat, Jan 20, 2024",3:00p,Milwaukee Bucks,141,Detroit Pistons,135,Box Score,,"19,996",2:27,Little Caesars Arena,
"Sat, Jan 20, 2024",7:00p,Philadelphia 76ers,97,Charlotte Hornets,89,Box Score,,"18,261",2:09,Spectrum Center,
"Sat, Jan 20, 2024",7:00p,San Antonio Spurs,131,Washington Wizards,127,Box Score,,"17,922",2:17,Capital One Arena,
"Sat, Jan 20, 2024",7:30p,Cleveland Cavaliers,116,Atlanta Hawks,95,Box Score,,"17,047",2:04,State Farm Arena,
"Sat, Jan 20, 2024",7:30p,Toronto Raptors,100,New York Knicks,126,Box Score,,"19,812",2:11,Madison Square Garden (IV),
"Sat, Jan 20, 2024",8:00p,Memphis Grizzlies,96,Chicago Bulls,125,Box Score,,"21,441",2:07,United Center,
"Sat, Jan 20, 2024",8:00p,Utah Jazz,126,Houston Rockets,127,Box Score,OT,"16,618",2:41,Toyota Center,
"Sat, Jan 20, 2024",8:00p,Oklahoma City Thunder,102,Minnesota Timberwolves,97,Box Score,,"18,024",2:24,Target Center,
"Sun, Jan 21, 2024",3:30p,Brooklyn Nets,114,Los Angeles Clippers,125,Box Score,,"19,370",2:20,Crypto.com Arena,
"Sun, Jan 21, 2024",6:00p,Miami Heat,87,Orlando Magic,105,Box Score,,"18,102",2:17,Kia Center,
"Sun, Jan 21, 2024",6:00p,Denver Nuggets,113,Washington Wizards,104,Box Score,,"17,107",2:09,Capital One Arena,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Sun, Jan 21, 2024",7:00p,Boston Celtics,116,Houston Rockets,107,Box Score,,"18,055",2:09,Toyota Center,
"Sun, Jan 21, 2024",8:00p,Indiana Pacers,110,Phoenix Suns,117,Box Score,,"17,071",2:19,Footprint Center,
"Sun, Jan 21, 2024",10:00p,Portland Trail Blazers,110,Los Angeles Lakers,134,Box Score,,"18,997",2:04,Crypto.com Arena,
"Mon, Jan 22, 2024",7:00p,Milwaukee Bucks,122,Detroit Pistons,113,Box Score,,"17,201",2:19,Little Caesars Arena,
"Mon, Jan 22, 2024",7:00p,Cleveland Cavaliers,126,Orlando Magic,99,Box Score,,"19,301",2:12,Kia Center,
"Mon, Jan 22, 2024",7:00p,San Antonio Spurs,123,Philadelphia 76ers,133,Box Score,,"20,511",2:19,Wells Fargo Center,
"Mon, Jan 22, 2024",7:30p,Memphis Grizzlies,108,Toronto Raptors,100,Box Score,,"18,577",2:06,Scotiabank Arena,
"Mon, Jan 22, 2024",8:00p,Charlotte Hornets,128,Minnesota Timberwolves,125,Box Score,,"18,024",2:11,Target Center,
"Mon, Jan 22, 2024",8:30p,Boston Celtics,119,Dallas Mavericks,110,Box Score,,"20,277",2:07,American Airlines Center,
"Mon, Jan 22, 2024",9:00p,Chicago Bulls,113,Phoenix Suns,115,Box Score,,"17,071",2:11,Footprint Center,
"Mon, Jan 22, 2024",10:00p,Atlanta Hawks,107,Sacramento Kings,122,Box Score,,"17,832",2:13,Golden 1 Center,
"Tue, Jan 23, 2024",7:00p,Denver Nuggets,114,Indiana Pacers,109,Box Score,,"16,004",2:16,Gainbridge Fieldhouse,
"Tue, Jan 23, 2024",7:30p,New York Knicks,108,Brooklyn Nets,103,Box Score,,"17,732",2:12,Barclays Center,
"Tue, Jan 23, 2024",8:00p,Utah Jazz,124,New Orleans Pelicans,153,Box Score,,"16,032",2:05,Smoothie King Center,
"Tue, Jan 23, 2024",8:00p,Portland Trail Blazers,109,Oklahoma City Thunder,111,Box Score,,"15,874",2:11,Paycom Center,
"Tue, Jan 23, 2024",10:00p,Los Angeles Lakers,116,Los Angeles Clippers,127,Box Score,,"19,370",2:10,Crypto.com Arena,
"Wed, Jan 24, 2024",7:00p,Charlotte Hornets,106,Detroit Pistons,113,Box Score,,"15,020",2:10,Little Caesars Arena,
"Wed, Jan 24, 2024",7:00p,Minnesota Timberwolves,118,Washington Wizards,107,Box Score,,"15,446",2:20,Capital One Arena,
"Wed, Jan 24, 2024",7:30p,Memphis Grizzlies,105,Miami Heat,96,Box Score,,"19,600",2:13,Kaseya Center,
"Wed, Jan 24, 2024",8:00p,Portland Trail Blazers,137,Houston Rockets,131,Box Score,OT,"18,055",2:25,Toyota Center,
"Wed, Jan 24, 2024",8:00p,Cleveland Cavaliers,116,Milwaukee Bucks,126,Box Score,,"17,510",2:09,Fiserv Forum,
"Wed, Jan 24, 2024",8:30p,Phoenix Suns,132,Dallas Mavericks,109,Box Score,,"20,202",2:22,American Airlines Center,
"Wed, Jan 24, 2024",9:30p,Oklahoma City Thunder,140,San Antonio Spurs,114,Box Score,,"18,130",2:13,Frost Bank Center,
"Wed, Jan 24, 2024",10:00p,Atlanta Hawks,112,Golden State Warriors,134,Box Score,,"18,064",2:08,Chase Center,
"Thu, Jan 25, 2024",7:00p,Philadelphia 76ers,122,Indiana Pacers,134,Box Score,,"15,699",2:30,Gainbridge Fieldhouse,
"Thu, Jan 25, 2024",7:00p,Utah Jazz,123,Washington Wizards,108,Box Score,,"14,027",2:02,Capital One Arena,
"Thu, Jan 25, 2024",7:30p,Minnesota Timberwolves,96,Brooklyn Nets,94,Box Score,,"17,732",2:15,Barclays Center,
"Thu, Jan 25, 2024",7:30p,Boston Celtics,143,Miami Heat,110,Box Score,,"20,074",2:02,Kaseya Center,
"Thu, Jan 25, 2024",7:30p,Denver Nuggets,84,New York Knicks,122,Box Score,,"19,812",2:05,Madison Square Garden (IV),
"Thu, Jan 25, 2024",10:00p,Sacramento Kings,134,Golden State Warriors,133,Box Score,,"18,064",2:24,Chase Center,
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
"Thu, Jan 25, 2024",10:30p,Chicago Bulls,132,Los Angeles Lakers,141,Box Score,,"18,997",2:15,Crypto.com Arena,
"Fri, Jan 26, 2024",7:00p,Dallas Mavericks,148,Atlanta Hawks,143,Box Score,,"16,149",2:24,State Farm Arena,
"Fri, Jan 26, 2024",7:00p,Houston Rockets,138,Charlotte Hornets,104,Box Score,,"16,164",2:14,Spectrum Center,
"Fri, Jan 26, 2024",7:00p,Phoenix Suns,131,Indiana Pacers,133,Box Score,,"17,274",2:17,Gainbridge Fieldhouse,
"Fri, Jan 26, 2024",7:30p,Los Angeles Clippers,127,Toronto Raptors,107,Box Score,,"19,800",2:11,Scotiabank Arena,
"Fri, Jan 26, 2024",8:00p,Orlando Magic,106,Memphis Grizzlies,107,Box Score,,"16,823",2:15,FedEx Forum,
"Fri, Jan 26, 2024",8:00p,Cleveland Cavaliers,112,Milwaukee Bucks,100,Box Score,,"17,855",2:27,Fiserv Forum,
"Fri, Jan 26, 2024",8:00p,Oklahoma City Thunder,107,New Orleans Pelicans,83,Box Score,,"18,624",2:00,Smoothie King Center,
"Fri, Jan 26, 2024",9:30p,Portland Trail Blazers,100,San Antonio Spurs,116,Box Score,,"17,274",2:09,Frost Bank Center,
"Sat, Jan 27, 2024",12:00p,Washington Wizards,118,Detroit Pistons,104,Box Score,,"16,922",2:08,Little Caesars Arena,
"Sat, Jan 27, 2024",3:00p,Miami Heat,109,New York Knicks,125,Box Score,,"19,812",2:23,Madison Square Garden (IV),
"Sat, Jan 27, 2024",5:30p,Philadelphia 76ers,105,Denver Nuggets,111,Box Score,,"19,805",2:22,Ball Arena,
"Sat, Jan 27, 2024",6:00p,Houston Rockets,104,Brooklyn Nets,106,Box Score,,"17,732",2:26,Barclays Center,
"Sat, Jan 27, 2024",7:00p,Los Angeles Clippers,115,Boston Celtics,96,Box Score,,"19,156",2:03,TD Garden,
"Sat, Jan 27, 2024",7:00p,Utah Jazz,134,Charlotte Hornets,122,Box Score,,"17,633",2:04,Spectrum Center,
"Sat, Jan 27, 2024",8:00p,New Orleans Pelicans,117,Milwaukee Bucks,141,Box Score,,"17,940",2:14,Fiserv Forum,
"Sat, Jan 27, 2024",8:30p,Los Angeles Lakers,145,Golden State Warriors,144,Box Score,2OT,"18,064",3:17,Chase Center,
"Sat, Jan 27, 2024",8:30p,Minnesota Timberwolves,112,San Antonio Spurs,113,Box Score,,"17,726",2:04,Frost Bank Center,
